Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
312486,TAI NAM CORPORATION,4925 N Broadway St,Ste J,Chicago,IL,60640,3056,COOK,Super Store,41.972275,-87.659737,NA,NA,7145,"c(-87.659737, 41.972275)"
311357,Jewel Food Store 3514,3531 N Broadway St,NA,Chicago,IL,60657,1825,COOK,Supermarket,41.946617,-87.646767,NA,NA,7216,"c(-87.646767, 41.946617)"
292508,SAFEWAY  174,520 W Osborn Rd,NA,Phoenix,AZ,85013,3808,MARICOPA,Supermarket,33.487629,-112.08275,NA,NA,7481,"c(-112.08275, 33.487629)"
232539,Fairplay Foods,2200 S Western Ave,NA,Chicago,IL,60608,3816,COOK,Super Store,41.851994,-87.685715,NA,NA,7677,"c(-87.685715, 41.851994)"
333063,El Ranchito Food Mart,3900 W 71st St,NA,Chicago,IL,60629,4316,COOK,Grocery Store,41.764168,-87.720131,NA,NA,8010,"c(-87.720131, 41.764168)"
334037,AJ's Fine Foods 159,4430 E Camelback Rd,NA,Phoenix,AZ,85018,2834,MARICOPA,Super Store,33.509438,-111.98293,NA,NA,8097,"c(-111.98293, 33.509438)"
381365,Devon Market,1440 W Devon Ave,NA,Chicago,IL,60660,1326,COOK,Super Store,41.998375,-87.667152,NA,NA,8578,"c(-87.667152, 41.998375)"
381546,RAINBOW FINER FOOD & LIQUOR,6316 S Ashland Ave,NA,Chicago,IL,60636,2725,COOK,Grocery Store,41.778748,-87.664246,NA,NA,8591,"c(-87.664246, 41.778748)"
296074,SUPERMERCADO EL GUERO 10,4023 S Archer Ave,NA,Chicago,IL,60632,1139,COOK,Super Store,41.820545,-87.693657,NA,NA,8845,"c(-87.693657, 41.820545)"
272793,CHICAGO FOOD CORP,3333 N Kimball Ave,NA,Chicago,IL,60618,5503,COOK,Supermarket,41.941982,-87.712517,NA,NA,8970,"c(-87.712517, 41.941982)"
356174,FTEX FOOD & LIQUOR INC.,5756 W Chicago Ave,NA,Chicago,IL,60651,2623,COOK,Grocery Store,41.894951,-87.770027,NA,NA,9049,"c(-87.770027, 41.894951)"
346969,SOUTHTOWN HEALTH FOODS,2100 W 95th St,NA,Chicago,IL,60643,1118,COOK,Grocery Store,41.721291,-87.674805,NA,NA,9103,"c(-87.674805, 41.721291)"
348405,FOOD STATE MARKET,3202 E Broadway Rd,NA,Phoenix,AZ,85040,2828,MARICOPA,Grocery Store,33.407089,-112.01196,NA,NA,9156,"c(-112.01196, 33.407089)"
347278,FRY'S 609,850 E Hatcher Rd,NA,Phoenix,AZ,85020,2693,MARICOPA,Super Store,33.571369,-112.06132,NA,NA,9346,"c(-112.06132, 33.571369)"
